iter	Passed	Remaining
0	136	136353
1	137	68448
2	137	45778
3	138	34448
4	138	27642
5	139	23111
6	140	19876
7	140	17453
8	141	15567
9	141	14048
10	142	12804
11	143	11777
12	143	10913
13	144	10169
14	145	9524
15	145	8960
16	146	8468
17	147	8025
18	147	7626
19	148	7267
20	148	6938
21	149	6639
22	150	6373
23	150	6128
24	151	5901
25	151	5693
26	152	5498
27	153	5318
28	153	5148
29	154	4988
30	154	4838
31	155	4698
32	155	4566
33	156	4441
34	156	4323
35	157	4212
36	157	4107
37	158	4008
38	158	3913
39	159	3823
40	159	3738
41	160	3657
42	160	3579
43	161	3509
44	162	3440
45	162	3377
46	163	3314
47	164	3255
48	164	3197
49	165	3141
50	165	3086
51	166	3033
52	166	2982
53	167	2932
54	167	2884
55	168	2838
56	168	2794
57	169	2751
58	169	2710
59	170	2670
60	170	2631
61	171	2593
62	171	2557
63	172	2522
64	172	2488
65	173	2454
66	174	2423
67	174	2393
68	175	2362
69	175	2333
70	176	2304
71	176	2279
72	177	2254
73	178	2228
74	178	2203
75	179	2178
76	179	2153
77	180	2130
78	180	2107
79	181	2084
80	181	2062
81	182	2042
82	182	2019
83	183	1998
84	183	1978
85	184	1959
86	184	1940
87	185	1921
88	185	1903
89	186	1885
90	187	1869
91	187	1853
92	188	1838
93	189	1822
94	189	1807
95	190	1792
96	190	1776
97	191	1762
98	192	1748
99	192	1734
100	193	1724
101	194	1710
102	194	1697
103	195	1683
104	196	1671
105	196	1657
106	197	1644
107	197	1631
108	198	1619
109	198	1606
110	199	1594
111	199	1582
112	200	1570
113	200	1559
114	201	1548
115	201	1537
116	202	1525
117	202	1514
118	203	1504
119	203	1493
120	204	1484
121	204	1473
122	205	1463
123	205	1454
124	206	1444
125	207	1436
126	207	1427
127	208	1419
128	208	1410
129	209	1401
130	210	1393
131	210	1384
132	211	1375
133	211	1368
134	212	1359
135	212	1351
136	213	1343
137	213	1335
138	214	1327
139	214	1319
140	215	1312
141	215	1303
142	216	1296
143	216	1288
144	217	1281
145	217	1273
146	218	1266
147	218	1260
148	219	1253
149	219	1246
150	220	1239
151	221	1233
152	221	1226
153	222	1220
154	222	1214
155	223	1208
156	223	1202
157	224	1196
158	225	1190
159	225	1183
160	225	1176
161	226	1171
162	226	1164
163	227	1159
164	227	1153
165	228	1147
166	228	1141
167	229	1135
168	229	1130
169	230	1124
170	230	1118
171	231	1113
172	231	1108
173	232	1102
174	232	1097
175	233	1092
176	233	1086
177	234	1081
178	234	1076
179	235	1071
180	235	1066
181	236	1061
182	236	1057
183	237	1053
184	238	1049
185	238	1044
186	239	1040
187	239	1035
188	240	1031
189	240	1026
190	241	1022
191	241	1017
192	242	1013
193	242	1009
194	243	1005
195	244	1001
196	244	996
197	245	992
198	245	988
199	246	984
200	246	980
201	247	976
202	247	972
203	248	968
204	248	964
205	249	960
206	249	956
207	250	952
208	250	949
209	251	945
210	251	942
211	265	985
212	265	981
213	266	977
214	266	973
215	266	969
216	267	965
217	267	961
218	268	957
219	269	954
220	269	950
221	270	946
222	270	943
223	271	939
224	271	935
225	272	931
226	272	928
227	273	924
228	273	921
229	274	917
230	274	913
231	275	910
232	275	906
233	275	903
234	276	899
235	276	896
236	277	893
237	277	889
238	278	886
239	278	883
240	279	879
241	279	876
242	280	873
243	280	870
244	281	867
245	281	863
246	282	860
247	282	857
248	283	854
249	283	851
250	284	849
251	285	845
252	285	842
253	285	839
254	286	836
255	286	833
256	287	830
257	287	828
258	288	825
259	288	822
260	289	819
261	289	816
262	290	813
263	290	811
264	291	808
265	291	805
266	292	802
267	292	799
268	293	797
269	293	794
270	294	791
271	294	789
272	295	786
273	295	784
274	296	781
275	296	778
276	297	776
277	297	773
278	298	771
279	299	769
280	299	767
281	300	764
282	300	762
283	301	759
284	301	757
285	302	754
286	302	752
287	303	749
288	303	747
289	304	744
290	304	742
291	305	739
292	305	737
293	306	735
294	306	732
295	307	730
296	307	728
297	308	725
298	308	723
299	309	721
300	309	719
301	310	717
302	310	715
303	311	712
304	311	710
305	312	708
306	312	706
307	313	704
308	314	702
309	314	700
310	315	698
311	315	696
312	316	694
313	316	692
314	317	690
315	317	688
316	318	686
317	319	684
318	319	682
319	320	680
320	320	677
321	321	675
322	321	673
323	321	671
324	322	669
325	322	667
326	323	665
327	324	663
328	324	661
329	325	659
330	325	657
331	326	655
332	326	653
333	326	651
334	327	650
335	327	648
336	328	646
337	329	644
338	329	643
339	330	641
340	331	639
341	331	637
342	332	636
343	332	634
344	333	632
345	333	630
346	334	628
347	334	626
348	334	624
349	335	622
350	335	621
351	336	619
352	336	617
353	337	615
354	337	614
355	338	612
356	338	610
357	339	608
358	339	606
359	340	605
360	340	603
361	341	601
362	341	599
363	342	598
364	342	596
365	343	594
366	343	593
367	344	591
368	345	590
369	345	588
370	346	587
371	347	585
372	347	584
373	348	582
374	348	581
375	349	579
376	349	577
377	350	576
378	350	574
379	351	572
380	351	571
381	352	569
382	352	568
383	353	566
384	353	564
385	354	563
386	354	561
387	355	560
388	355	558
389	356	556
390	356	555
391	357	553
392	357	552
393	358	550
394	358	549
395	359	548
396	360	547
397	360	545
398	361	544
399	362	543
400	362	541
401	363	540
402	363	538
403	364	537
404	364	535
405	365	534
406	365	532
407	366	531
408	366	529
409	367	528
410	367	527
411	368	525
412	368	524
413	369	522
414	369	521
415	370	519
416	370	518
417	371	516
418	371	515
419	372	513
420	372	512
421	373	510
422	373	509
423	374	508
424	374	507
425	375	505
426	376	504
427	376	503
428	377	501
429	377	500
430	378	499
431	378	498
432	379	496
433	379	495
434	380	493
435	380	492
436	381	491
437	381	490
438	382	488
439	382	487
440	383	485
441	383	484
442	384	483
443	384	481
444	385	480
445	385	479
446	386	477
447	386	476
448	387	475
449	387	473
450	388	472
451	388	471
452	389	470
453	390	469
454	390	468
455	391	466
456	392	465
457	392	464
458	393	463
459	393	462
460	394	460
461	394	459
462	395	458
463	395	457
464	396	455
465	396	454
466	397	453
467	397	452
468	398	450
469	398	449
470	399	448
471	399	447
472	400	445
473	400	444
474	401	443
475	401	442
476	402	440
477	402	439
478	403	438
479	403	437
480	404	436
481	404	435
482	405	434
483	406	433
484	406	431
485	407	430
486	407	429
487	408	428
488	408	427
489	409	425
490	409	424
491	410	423
492	410	422
493	411	421
494	411	420
495	412	418
496	412	417
497	413	416
498	413	415
499	414	414
500	414	413
501	415	411
502	415	410
503	416	409
504	416	408
505	417	407
506	417	406
507	418	404
508	418	403
509	419	402
510	419	401
511	420	400
512	421	399
513	421	398
514	421	397
515	422	396
516	422	395
517	423	393
518	423	392
519	424	391
520	425	390
521	425	389
522	425	388
523	426	387
524	426	386
525	427	385
526	427	384
527	428	382
528	428	381
529	429	380
530	429	379
531	430	378
532	430	377
533	431	376
534	431	375
535	432	374
536	432	373
537	433	372
538	433	371
539	434	369
540	434	369
541	435	368
542	436	367
543	436	366
544	437	365
545	437	363
546	438	362
547	438	361
548	439	360
549	439	359
550	440	358
551	440	357
552	441	356
553	441	355
554	442	354
555	442	353
556	443	352
557	443	351
558	444	350
559	444	349
560	445	348
561	445	347
562	446	346
563	446	345
564	446	344
565	447	343
566	447	342
567	448	341
568	449	340
569	449	339
570	450	338
571	450	337
572	451	336
573	451	335
574	452	334
575	452	333
576	453	332
577	453	331
578	454	330
579	454	329
580	455	328
581	455	327
582	456	326
583	456	325
584	457	324
585	457	323
586	458	322
587	458	321
588	458	320
589	459	319
590	459	318
591	460	317
592	460	316
593	461	315
594	461	314
595	462	313
596	462	312
597	463	311
598	463	310
599	464	309
600	465	308
601	465	307
602	466	306
603	466	305
604	467	304
605	467	304
606	468	303
607	468	302
608	469	301
609	469	300
610	470	299
611	470	298
612	471	297
613	471	296
614	472	295
615	472	294
616	473	293
617	473	292
618	473	291
619	474	290
620	475	289
621	475	288
622	476	288
623	476	287
624	476	286
625	477	285
626	477	284
627	478	283
628	479	282
629	479	281
630	480	280
631	480	279
632	481	278
633	481	278
634	482	277
635	482	276
636	483	275
637	483	274
638	484	273
639	484	272
640	485	271
641	485	270
642	486	269
643	486	268
644	487	268
645	487	267
646	488	266
647	488	265
648	489	264
649	489	263
650	490	262
651	490	261
652	491	260
653	491	260
654	491	259
655	492	258
656	492	257
657	493	256
658	493	255
659	494	254
660	495	253
661	495	253
662	496	252
663	496	251
664	497	250
665	497	249
666	498	248
667	498	247
668	498	246
669	499	245
670	499	245
671	500	244
672	500	243
673	501	242
674	501	241
675	502	240
676	502	239
677	503	239
678	503	238
679	504	237
680	504	236
681	505	235
682	505	234
683	506	233
684	506	232
685	507	232
686	507	231
687	508	230
688	508	229
689	509	228
690	509	227
691	510	227
692	510	226
693	511	225
694	511	224
695	512	223
696	512	222
697	513	222
698	513	221
699	514	220
700	514	219
701	515	218
702	515	217
703	516	217
704	516	216
705	517	215
706	517	214
707	518	213
708	518	212
709	519	212
710	519	211
711	520	210
712	520	209
713	521	208
714	521	207
715	522	207
716	522	206
717	523	205
718	523	204
